591;s9032;перешивка,преображение,перемена,перелицовка
592;s38445;закупаться,отовариться
593;s59048;налоговая полиция
594;s21991;буфер обмена,карман,клипборд
595;s31440;обрамление,рамка
596;s65545;огнеметный танк
597;s48515;симптоматические средства
598;s2649;миткать,бязь,ситец
599;s71040,s27093;идея фикс,идефикс,мания,навязчивая идея
600;s48028;живое существо
601;s15172;пропагандистский
602;s58435;лиссабонское землетрясение
603;s56047;дочернее общество
604;s69027;нуклеотидная последовательность
605;s21027,s21024,s47436,s18960,s21730,s29840,s9269,s16264,s21026,s18956,s20702,s9031,s18959,s20700,s4558,s3529,s21725,s21726,s1380,s3460,s3083,s18923,s21023,s21022,s47348,s20699,s16686,s20701,s22722;пустое,дурь,малость,пустяки,мелюзга,бессмысленность,ерунда,бред,безделка,околесица,абсурдность,чушь,муть,вздор,ничтожество,ересь,мелочь,белибердень,белиберда,мура,пустяк,галиматья,дробь,фантасмагория,бредятина,абсурд,несусветность,пролет,чепуха,несусветица,мелкота,дребедень,глупость,дичь,нелепость,нонсенс,абракадабра,бессмыслица,ерундистика,пустяковина,безделица,несуразица,шутка,провал
606;s64965;румянцевская библиотека
607;s41056;посматривать,поглядывать
608;s53416;оксфордский словарь
609;s68694;королева фей
610;s61549;биржевой мост
611;s52799;поклонение волхвов
612;s32332;самум,песчаная буря
613;s13403;годность,исправность
614;s57803;аналоговый фотоаппарат
615;s48725;советский народ
616;s64277;древние германцы
617;s46963;статический,статичный
618;s55233;бивачное снаряжение
619;s34369;соляная кислота,хлористый водород
620;s64268;эмпирическая зависимость
621;s58634;нацистская символика
622;s55892;трение скольжения
623;s22406;конверсив,векторный антоним
624;s24431;гора,откос,косогор
625;s28329;черпачок,ковшик
626;s59593;стандартная модель
627;s39450;легализировать,легализовать
628;s19175;соответствие,адекватность,пригодность,достаточность
629;s46606;пустой,полый
630;s34389;сорняк,сорное растение
631;s57366;обратная транскриптаза
632;s54041;стрелецкий бунт
633;s60569;бродячие муравьи
634;s28492;проективное преобразование,коллинеация
635;s65357;озеро ладожское
636;s13748;слойка
637;s44582;драматичный,театральный,напыщенный
638;s65757;медвежьи озера
639;s50295;красный флаг
640;s3996;привлекательность,обаяние
641;s23832;сольвычегодчанин,сольвычегодец,усолец,вычегодец
642;s53256;конная статуя
643;s61505;пункт управления
644;s29009;овчарник,кошара,овчарня
645;s61797;мысленный образ
